total_users_attempted,user_password_fails,rdns_lookup_fails
4,114,0
1,0,0
0,311,0
1,10,0
336,744,0
0,36,0
2,13,0
0,8,0
10,15,0
2,5,0
22,16,0
1,0,0
4,0,0
23,355,0
44,54,0
0,30,0
4,1,0
0,4,0
12,185,0
124,425,0
5,2,0
6,52,0
1,14,0
19,490,0
23,88,0
14,7,0
3,2,0
1,2,0
0,36,0
0,56,0
3,2,0
0,9,0
3,2,0
0,1063,0
0,213,0
3,2,0
2,13,0
1,1,0
2,13,0
0,669,0
2,6,0
0,5,0
0,220,0
0,221,0
0,185,0
11,29,0
0,221,0
0,221,0
0,219,0
0,219,0
0,38,0
0,220,0
0,102,0
2,0,0
4,29,0
0,1,0
0,215,0
0,1,0
42,28,0
12,5,0
0,45,0
3,1,0
0,42,0
0,1,0
0,1,0
5,0,0
1,0,0
5,0,0
0,1,0
5,0,0
6,51,0
68,36,0
5,0,0
0,22,0
0,65,0
9,0,0
24,12,0
54,254,0
3,0,0
3,1,0
0,2,0
1,0,0
10,15,0
5,0,0
3,15,0
2,12,0
1,0,0
0,1,0
5,0,0
5,0,0
0,69,0
0,2,0
1,1,0
0,3,0
141,31,0
10,172,0
0,2,0
1,1,0
5,0,0
1,0,0
0,2,0
14,28,0
0,7,0
0,7,0
3,20,0
0,3,0
0,3,0
0,2,0
1184,440,0
1,0,0
0,3,0
4,1,0
0,6,0
0,7,0
1,1,0
0,1,0
78,204,0
0,19,0
0,6,0
20,15,0
1,0,0
0,1,0
18,0,0
0,11,0
0,6,0
0,6,0
0,6,0
1,0,0
0,29,0
0,67,0
0,126,0
0,89,0
0,20,0
0,5,0
0,390,0
0,247,0
1,0,0
0,1,0
5,7,0
73,11,0
0,70,0
55,4,0
26,69,0
0,18,0
0,6,0
3,33,0
1,0,0
1,0,0
4,5,0
0,54,0
6,5,0
4,239,0
10,58,0
0,1,0
147,336,0
0,4,0
6,5,0
3,0,0
0,19,0
0,6,0
2,0,0
0,1,0
2,13,0
87,127,0
25,2,0
1,10,0
1,0,0
0,1,0
101,611,0
22,1,0
0,2,0
67,125,0
0,7,0
0,247,0
20,2,0
1,0,0
0,10,0
5,2,0
5,224,0
15,3,0
1,0,0
11,26,0
5,40,0
0,3,0
1,2,0
2,27,0
8,69,0
5,85,0
0,15,0
4,17,0
0,1,0
2,124,0
1,1,0
0,4,0
102,525,0
0,10,0
2,0,0
75,146,0
131,36,0
0,132,0
26,69,0
0,35,0
0,2,0
0,27,0
2,12,0
1,2,0
54,163,0
0,6,0
3,30,0
0,13,0
